step_time,reward_gneJ00,gneJ00_offset,reward_gneJ9,gneJ9_offset
382500.0,-1038,45,-1669,86
383520.0,-1304,91,-1485,23
384540.0,-1015,35,-1516,62
385560.0,-1459,81,-1358,101
386580.0,-1974,62,-1280,38
387600.0,-1054,37,-1569,77
388620.0,-1288,12,-1141,14
389640.0,-1040,35,-1179,53
390660.0,-1275,10,-1221,92
391680.0,-1419,87,-1576,29
392700.0,-1644,62,-1289,68
393720.0,-1530,37,-1378,5
394740.0,-1040,12,-1459,44
395760.0,-1692,89,-1219,83
396780.0,-1414,37,-1089,20
397800.0,-1115,12,-1558,59
398820.0,-1491,89,-1237,98
399840.0,-1841,64,-1285,35
400860.0,-1148,39,-1537,74
401880.0,-1017,14,-1278,30
402900.0,-1474,91,-1431,69
403920.0,-1465,66,-1638,6
404940.0,-1299,41,-1152,45
405960.0,-1175,16,-1468,84
406980.0,-1232,93,-1337,21
408000.0,-1859,68,-1153,60
409020.0,-1210,43,-1571,99
410040.0,-1022,18,-1413,36
411060.0,-1595,95,-1384,75
412080.0,-1747,70,-1528,12
413100.0,-1789,45,-1188,51
414120.0,-1136,20,-1378,90
415140.0,-1213,97,-1479,27
416160.0,-2140,72,-1148,66
417180.0,-1720,47,-1488,3
418200.0,-1183,22,-1455,42
419220.0,-1504,99,-1360,81
420240.0,-1601,74,-1459,18
421260.0,-1416,49,-1270,57
422280.0,-1493,24,-1304,96
423300.0,-1100,101,-1492,33
424320.0,-1720,76,-1180,72
425340.0,-1548,51,-1412,9
426360.0,-1017,26,-1452,48
427380.0,-1445,1,-1439,87
428400.0,-1499,78,-1566,24
429420.0,-1485,53,-1209,63
430440.0,-1429,28,-1299,0
431460.0,-1040,3,-1395,39
432480.0,-1782,80,-1206,78
433500.0,-1577,55,-1358,15
434520.0,-1581,30,-1323,54
435540.0,-1366,5,-1263,93
436560.0,-1369,82,-1527,30
437580.0,-1642,57,-1213,69
438600.0,-1420,32,-1245,6
439620.0,-1042,7,-1462,45
440640.0,-1773,84,-1208,84
441660.0,-1602,59,-1419,21
442680.0,-1044,34,-1419,60
443700.0,-1335,9,-1298,99
444720.0,-1364,86,-1510,36
445740.0,-1581,61,-1340,75
446760.0,-1482,36,-1213,12
447780.0,-1100,11,-1410,51
448800.0,-1571,88,-1216,90
449820.0,-1637,63,-1334,27
450840.0,-1148,38,-1335,66
451860.0,-1297,13,-1180,3
452880.0,-1425,90,-1505,42
453900.0,-1666,65,-1282,81
454920.0,-1514,40,-1188,18
455940.0,-1151,15,-1473,57
456960.0,-1565,92,-1247,96
457980.0,-1839,67,-1298,33
459000.0,-1141,42,-1435,72
460020.0,-1305,17,-1119,9
461040.0,-1361,94,-1405,48
462060.0,-1557,69,-1325,87
463080.0,-1641,44,-1147,24
464100.0,-995,19,-1550,63
465120.0,-1386,96,-1331,0
466140.0,-1970,71,-1322,39
467160.0,-1157,46,-1421,78
468180.0,-1249,21,-1116,15
469200.0,-1317,98,-1557,54
470220.0,-1686,73,-1195,93
471240.0,-1740,48,-1222,30
472260.0,-1191,23,-1632,69
473280.0,-1280,100,-1208,6
474300.0,-2152,75,-1327,45
475320.0,-1373,50,-1485,85
476340.0,-1733,25,-1123,22
477360.0,-1587,0,-1561,61
478380.0,-1388,77,-1320,100
479400.0,-2037,52,-1178,37
480420.0,-1199,27,-1605,76
481440.0,-1278,2,-1154,13
482460.0,-1682,79,-1233,52
483480.0,-1213,54,-1500,91
484500.0,-1377,29,-1101,28
485520.0,-1201,4,-1451,67
486540.0,-1314,81,-1362,4
487560.0,-1905,56,-1215,43
488580.0,-1054,31,-1612,82
489600.0,-1141,6,-1324,19
490620.0,-1725,83,-1360,58
491640.0,-1315,58,-1582,97
492660.0,-1466,33,-1134,34
493680.0,-1223,8,-1483,73
494700.0,-1454,85,-1386,10
495720.0,-1752,60,-1194,49
496740.0,-1041,35,-1638,88
497760.0,-1087,10,-1233,25
498780.0,-1719,87,-1384,64
499800.0,-1561,62,-1603,1
500820.0,-1487,37,-1277,40
501840.0,-1242,12,-1467,79
502860.0,-1265,89,-1397,16
503880.0,-1827,64,-1124,55
504900.0,-1087,39,-1556,94
505920.0,-1024,14,-1302,31
506940.0,-1540,91,-1337,70
507960.0,-1580,66,-1684,7
508980.0,-1671,41,-1260,46
510000.0,-1336,16,-1391,85
511020.0,-1223,93,-1396,22
512040.0,-1903,68,-1070,61
513060.0,-1377,43,-1555,100
514080.0,-959,18,-1447,37
515100.0,-1462,95,-1273,76
516120.0,-1542,70,-1468,13
517140.0,-1369,45,-1205,52
518160.0,-1081,20,-1449,91
519180.0,-1129,97,-1486,28
520200.0,-1797,72,-1255,67
521220.0,-1282,47,-1492,4
522240.0,-1306,22,-1454,43
523260.0,-1540,99,-1376,82
524280.0,-1700,74,-1450,19
525300.0,-1425,49,-1364,58
526320.0,-1336,24,-1305,97
527340.0,-1139,101,-1385,34
528360.0,-1705,76,-1235,73
529380.0,-1796,51,-1363,10
530400.0,-1343,26,-1443,49
531420.0,-1427,1,-1412,88
532440.0,-1702,78,-1346,49
533460.0,-1251,53,-1620,88
534480.0,-1450,28,-1114,25
535500.0,-1313,3,-1400,64
536520.0,-1350,80,-1384,1
537540.0,-1876,55,-1186,40
538560.0,-1265,30,-1664,79
539580.0,-1116,5,-1253,16
540600.0,-1610,82,-1317,55
541620.0,-1204,50,-1682,94
542640.0,-1445,29,-1327,31
543660.0,-1424,99,-1449,70
544680.0,-1279,0,-1144,7
545700.0,-1804,70,-1214,46
546720.0,-1092,38,-1609,85
547740.0,-1184,6,-1263,22
548760.0,-1769,76,-1210,61
549780.0,-1295,44,-1539,100
550800.0,-1042,12,-1422,37
551820.0,-1748,82,-1356,76
552840.0,-1399,50,-1379,13
553860.0,-1174,18,-1451,52
554880.0,-1483,88,-1216,91
555900.0,-1831,58,-1246,28
556920.0,-1171,26,-1535,67
557940.0,-1300,96,-1326,4
558960.0,-1921,64,-1216,43
559980.0,-1251,32,-1551,82
561000.0,-1246,0,-1284,19
562020.0,-1698,70,-1285,58
563040.0,-1282,38,-1520,97
564060.0,-1009,6,-1396,34
565080.0,-1726,76,-1207,73
566100.0,-1320,44,-1180,10
567120.0,-994,12,-1466,49
568140.0,-1639,82,-1256,88
569160.0,-1566,50,-1227,25
570180.0,-1077,18,-1570,64
571200.0,-1335,88,-1287,1
572220.0,-1920,56,-1141,40
573240.0,-1114,24,-1567,79
574260.0,-1175,94,-1419,16
575280.0,-1906,62,-1156,55
576300.0,-1323,30,-1541,94
577320.0,-1101,100,-1516,31
578340.0,-1998,68,-1216,70
579360.0,-1472,36,-1251,7
580380.0,-1047,4,-1491,46
581400.0,-1455,74,-1311,85
582420.0,-1437,42,-1166,22
583440.0,-1238,10,-1519,61
584460.0,-1402,80,-1273,100
585480.0,-1677,48,-1236,37
586500.0,-1242,16,-1510,76
587520.0,-1215,86,-1481,13
588540.0,-1863,54,-1224,52
589560.0,-1206,22,-1338,91
590580.0,-1342,92,-1499,28
591600.0,-1662,60,-1257,67
592620.0,-1547,28,-1232,4
593640.0,-1224,98,-1479,43
594660.0,-1606,66,-1304,82
595680.0,-1516,34,-1088,19
596700.0,-1213,2,-1617,58
597720.0,-1430,72,-1407,97
598740.0,-1237,40,-1416,1
599760.0,-1424,8,-1096,7
600780.0,-1386,78,-1391,13
601800.0,-1464,46,-1229,19
602820.0,-1264,14,-1150,25
603840.0,-1376,84,-1402,31
604860.0,-1862,52,-1147,37
605880.0,-1309,20,-1247,43
606900.0,-1392,90,-1344,49
607920.0,-1882,58,-1117,55
608940.0,-1212,26,-1466,61
609960.0,-1503,96,-1394,67
610980.0,-1905,64,-1195,73
612000.0,-1131,32,-1649,79
613020.0,-1439,0,-1408,85
614040.0,-1564,70,-1329,91
615060.0,-1194,38,-1474,97
616080.0,-1507,6,-1341,1
617100.0,-1432,76,-1275,7
618120.0,-1299,44,-1332,13
619140.0,-1336,12,-1132,19
620160.0,-1439,82,-1395,25
621180.0,-1708,50,-1144,31
622200.0,-1272,18,-1266,37
623220.0,-1482,88,-1407,43
624240.0,-1601,56,-1120,49
625260.0,-1045,24,-1334,55
626280.0,-1448,94,-1391,61
627300.0,-1724,62,-1235,67
628320.0,-980,30,-1535,73
629340.0,-1651,87,-1343,79
630360.0,-1265,55,-1523,85
631380.0,-1629,23,-1131,8
632400.0,-1295,93,-1480,33
633420.0,-1858,61,-1205,58
634440.0,-1199,29,-1589,83
635460.0,-1288,99,-1239,6
636480.0,-1730,67,-1348,31
637500.0,-1094,35,-1359,56
638520.0,-1473,3,-1287,81
639540.0,-1326,73,-1373,4
640560.0,-1666,41,-1131,29
641580.0,-1192,9,-1462,54
642600.0,-1716,79,-1252,79
643620.0,-1313,47,-1636,2
644640.0,-1642,15,-1313,27
645660.0,-1602,85,-1477,52
646680.0,-1426,53,-1347,77
647700.0,-1506,21,-1215,0
648720.0,-1383,91,-1438,25
649740.0,-1728,59,-1163,50
650760.0,-1106,27,-1572,75
651780.0,-1421,97,-1323,100
652800.0,-1831,65,-1440,23
653820.0,-1072,33,-1294,48
654840.0,-1450,1,-1416,73
655860.0,-1344,71,-1398,98
656880.0,-1622,39,-1173,21
657900.0,-1092,7,-1418,46
658920.0,-1731,77,-1223,71
659940.0,-1473,45,-1520,96
660960.0,-1283,13,-1306,19
661980.0,-1540,83,-1427,44
663000.0,-1603,51,-1368,69
664020.0,-2011,51,-1540,94
665040.0,-1677,19,-1169,17
666060.0,-1386,89,-1407,42
667080.0,-1450,57,-1289,67
668100.0,-1334,25,-1358,92
669120.0,-1211,95,-1454,15
670140.0,-2055,63,-1256,40
671160.0,-1012,31,-1490,65
672180.0,-1375,60,-1511,90
673200.0,-1359,92,-1351,13
674220.0,-1908,60,-1198,38
675240.0,-964,28,-1542,63
676260.0,-1408,98,-1327,88
677280.0,-1498,66,-1488,11
678300.0,-1331,34,-1101,34
679320.0,-1270,2,-1549,59
680340.0,-1509,72,-1212,84
681360.0,-1225,40,-1381,7
682380.0,-1556,83,-1620,32
683400.0,-1474,51,-1231,57
684420.0,-1185,19,-1394,82
685440.0,-1221,89,-1355,5
686460.0,-1795,57,-1228,30
687480.0,-1049,25,-1347,55
